name,engine
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,1498.0
BMW X1 sDrive20i xLine,1998.0
Maruti Celerio ZXI MT BSIV,998.0
Datsun GO A Petrol,1198.0
Maruti Alto 800 VXI BSIV,796.0
Maruti Alto 800 LXI BSIV,796.0
Hyundai i10 Era 1.1,1086.0
Maruti Wagon R LXI LPG BSIV,998.0
Volkswagen Polo 1.2 MPI Comfortline,1198.0
Hyundai i10 Magna 1.1L,1086.0
Volkswagen Vento Petrol Highline,1598.0
Maruti Zen Estilo LXI BSIII,998.0
Hyundai i20 Asta Optional with Sunroof 1.2,1197.0
Maruti Swift Dzire LDI,1248.0
Hyundai Xcent 1.2 Kappa SX Option AT,1197.0
Maruti Alto LX BSIII,796.0
Hyundai i20 1.4 Asta Option,1396.0
Maruti Wagon R VXI,998.0
Tata Manza Aura (ABS) Quadrajet,1248.0
Maruti Swift VXI,1197.0
Maruti Eeco 7 Seater Standard BSIV,1196.0
Maruti Baleno Zeta 1.2,1197.0
Mahindra Scorpio VLX AT AIRBAG BSIV,2179.0
Ford Freestyle Titanium Petrol BSIV,1194.0
Hyundai Verna VTVT 1.6 SX,1591.0
Volkswagen Passat 1.8 TSI MT,1798.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,1172.0
Mahindra XUV500 W11 Option AWD,2179.0
Tata Indigo CS LS (TDI) BS-III,1405.0
Hyundai Verna 1.6 SX,1582.0
Hyundai i20 Magna 1.4 CRDi (Diesel),1396.0
Toyota Corolla Altis G,1798.0
Maruti Celerio VXI,998.0
Maruti Vitara Brezza ZDi Plus Dual Tone,1248.0
Maruti Swift Dzire VXI,1197.0
Maruti Wagon R VXI BS IV,998.0
Nissan Terrano XL 85 PS,1461.0
Hyundai Creta 1.6 CRDi SX,1582.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1498.0
Renault KWID 1.0,999.0
Maruti Alto LXi,796.0
Maruti Ertiga VDI,1248.0
Hyundai Santro Xing GLS,1086.0
Honda Amaze S i-VTEC,1198.0
Audi Q5 35TDI Premium Plus,1968.0
Lexus ES 300h,2487.0
Jaguar XF 2.0 Diesel Portfolio,1999.0
Jeep Wrangler 2016-2019 3.6 4X4,3604.0
Land Rover Discovery Sport TD4 SE,1999.0
Mercedes-Benz S-Class S 350 CDI,2987.0
BMW 5 Series 520d Sport Line,1995.0
BMW X4 M Sport X xDrive20d,1995.0
Skoda Superb LK 1.8 TSI AT,1798.0
Mercedes-Benz E-Class E250 Edition E,2143.0
MG Hector Sharp AT BSIV,1451.0
Honda City i-VTEC CVT VX,1497.0
Toyota Corolla Altis 1.8 G CVT,1798.0
Volvo XC40 D4 R-Design,1969.0
Audi Q7 35 TDI Quattro Premium,2967.0
Maruti Ciaz ZDi,1248.0
BMW 5 Series 523i,2497.0
Hyundai Elantra S,1797.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,1999.0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,1198.0
Hyundai Elantra SX,1797.0
Skoda Rapid 1.6 MPI AT Elegance,1598.0
Mercedes-Benz CLA 200 CGI Sport,1991.0
Mercedes-Benz New C-Class C 200 AVANTGARDE,1991.0
Honda City V AT,1497.0
Toyota Glanza V CVT,1197.0
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1497.0
BMW 3 Series 320d Luxury Line,1995.0
Toyota Camry 2.5 Hybrid,2494.0
BMW 5 Series 520d Luxury Line,1995.0
Toyota Camry W4 (AT),2362.0
Maruti Ertiga BSIV ZXI Plus,1373.0
Volvo XC90 T8 Excellence BSIV,1969.0
Ford Figo Aspire 1.2 Ti-VCT Trend,1196.0
Ford Figo Diesel LXI,1399.0
Maruti Swift VXI Optional,1197.0
Hyundai i20 Magna 1.2,1197.0
Maruti Ritz VDi,1248.0
Hyundai Grand i10 Magna,1197.0
Volkswagen Ameo 1.0 MPI Trendline,999.0
Hyundai Grand i10 Sportz,1197.0
Hyundai Xcent 1.2 Kappa S,1197.0
Honda City 1.5 EXI,1493.0
Toyota Corolla Altis Diesel D4DG,1364.0
Daewoo Matiz SD,796.0
Toyota Fortuner 4x2 Manual,2982.0
Mahindra KUV 100 mFALCON G80 K8,1198.0
Tata Zest Quadrajet 1.3 75PS XM,1248.0
Honda City 1.5 S MT,1497.0
Maruti Zen LXI,993.0
Maruti Wagon R VXI BS IV with ABS,998.0
Hyundai Verna Transform SX VTVT,1599.0
Hyundai Getz GLS,1341.0
Hyundai Elite i20 Sportz Plus BSIV,1197.0
Maruti Ciaz 1.3 Alpha,1248.0
Tata Tigor 1.2 Revotron XZ,1199.0
Honda City i VTEC S,1497.0
Honda Brio S MT,1198.0
Maruti Wagon R LXI CNG,998.0
Hyundai i20 Sportz 1.2,1197.0
Maruti Swift Dzire VXI 1.2,1197.0
Maruti Swift Dzire AMT VXI BS IV,1197.0
Tata Hexa XE,2179.0
Hyundai i20 Magna,1197.0
Toyota Corolla Altis 1.8 VL AT,1794.0
Maruti Baleno Alpha Automatic,1197.0
Tata Safari Storme EX,2179.0
Renault KWID RXT,799.0
Datsun GO T BSIV,1198.0
Maruti Vitara Brezza VDi Option,1248.0
Hyundai Xcent 1.2 VTVT SX,1197.0
Hyundai i20 1.2 Sportz,1197.0
Tata Zest Revotron 1.2 XT,1193.0
Nissan Sunny XL,1498.0
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,1497.0
Nissan Micra Active XV S,1198.0
Maruti Wagon R LXI Optional,998.0
Mahindra Ssangyong Rexton RX5,2696.0
Mahindra Quanto C8,1493.0
Maruti Ritz LDi,1248.0
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1582.0
Mahindra XUV500 W4,2179.0
Maruti Eeco 5 Seater AC BSIV,1196.0
Hyundai Accent GLE,1495.0
Mahindra XUV500 W8 2WD,2179.0
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2494.0
Honda Amaze S CVT Petrol BSIV,1199.0
Hyundai i10 Sportz 1.2,1197.0
Maruti Ertiga SHVS ZDI Plus,1248.0
Hyundai Getz 1.3 GVS,1341.0
Hyundai i20 1.2 Magna,1197.0
Maruti Swift LXI Optional-O,1197.0
Tata Indica Vista TDI LS,1405.0
Maruti Ignis 1.3 Alpha,1248.0
Tata Hexa XTA,2179.0
Mahindra Marazzo M6 8Str,1497.0
Hyundai Verna 1.6 CRDI,1582.0
Maruti Swift Dzire LDi,1248.0
Honda City i DTEC V,1498.0
Maruti Swift Dzire ZDi,1248.0
Hyundai Xcent 1.2 CRDi E,1186.0
Toyota Fortuner 3.0 Diesel,2982.0
Tata Tiago 1.05 Revotorq XZ,1047.0
Nissan Sunny XL AT Special Edition,1498.0
Hyundai Elite i20 Magna Plus BSIV,1197.0
Toyota Innova 2.5 GX 7 STR,2494.0
Mahindra Thar CRDe,2498.0
Maruti Swift 1.2 DLX (Only Delhi),1197.0
Datsun GO D Petrol,1198.0
Mahindra Scorpio LX,2179.0
Tata Sumo Gold EX BSIII,2956.0
Tata Tiago Wizz 1.05 Revotorq,1047.0
Honda Brio Exclusive Edition,1198.0
Hyundai Grand i10 AT Asta,1197.0
Tata Manza Club Class Quadrajet90 LX,1248.0
Tata New Safari DICOR 2.2 EX 4x2,2179.0
Mahindra Bolero SLE,2523.0
Mahindra Bolero DI DX 7 Seater,2523.0
Mercedes-Benz GL-Class 220d 4MATIC Sport,2143.0
Hyundai i10 Sportz AT,1197.0
Maruti Swift VXI Deca,1197.0
Mahindra Bolero 2011-2019 ZLX,2523.0
Hyundai Verna 1.6 SX VTVT (O),1591.0
Hyundai i20 Active 1.2,1197.0
Maruti Baleno Zeta,1197.0
Hyundai i20 1.2 Asta,1197.0
Maruti Alto LXI,796.0
Hyundai Grand i10 CRDi Sportz,1120.0
Chevrolet Beat LS,1199.0
Tata Tigor 1.2 Revotron XZA,1199.0
Honda City i-DTEC VX,1498.0
Maruti Ertiga VXI,1373.0
Nissan Terrano XV Premium 110 PS,1461.0
Renault KWID RXL,799.0
Toyota Innova 2.5 GX (Diesel) 8 Seater,2494.0
Hyundai Creta 1.4 CRDi S Plus,1396.0
Tata Tiago 1.2 Revotron XZ,1199.0
Hyundai Grand i10 1.2 CRDi Sportz,1186.0
Maruti Baleno Zeta Automatic,1197.0
Maruti Swift ZXI ABS,1298.0
Maruti Swift LXI Option,1197.0
Maruti Celerio LXI,998.0
Toyota Innova 2.5 V Diesel 8-seater,2494.0
Nissan Micra Diesel XV,1461.0
Maruti A-Star Vxi,998.0
Maruti Swift Ldi BSIII,1248.0
Maruti Wagon R LXI,998.0
Ford Figo Diesel Titanium,1399.0
Mahindra XUV300 W8 Option BSIV,1197.0
Hyundai Creta 1.6 CRDi AT SX Plus,1582.0
Maruti Swift VXI BSIV,1197.0
Datsun GO T Option BSIV,1198.0
Hyundai Grand i10 Asta,1197.0
Toyota Fortuner 2.8 2WD MT BSIV,2755.0
Honda Brio 1.2 VX MT,1198.0
Volkswagen Ameo 1.2 MPI Comfortline Plus,1198.0
Nissan Sunny XV Special Edition,1498.0
Toyota Etios Liva GD SP,1364.0
Hyundai i10 Sportz,1197.0
Renault Duster 85PS Diesel RxL,1461.0
Toyota Innova 2.5 V Diesel 7-seater,2494.0
Tata Indigo CS eGLX BS IV,1193.0
Hyundai Elantra SX AT,1797.0
Tata Nano STD,624.0
Nissan Micra Diesel XL,1461.0
Volkswagen GTI 1.8 TSI,1798.0
Volvo XC40 D4 Inscription BSIV,1969.0
Maruti Baleno Alpha 1.3,1248.0
Honda Jazz VX,1199.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2494.0
Maruti Swift AMT VVT VXI,1197.0
Toyota Etios VX,1496.0
Maruti Swift AMT ZXI,1197.0
Honda Amaze V CVT Petrol BSIV,1199.0
Volvo V40 D3 R-Design,1984.0
Honda CR-V 2.4L 4WD AT,2354.0
Hyundai Verna 1.6 SX CRDi (O),1582.0
Toyota Innova 2.5 G1 Diesel 8-seater,2494.0
Maruti SX4 Celebration Diesel,1248.0
Hyundai Verna XXi ABS (Petrol),1599.0
Hyundai Verna CRDi SX,1493.0
Maruti Alto 800 VXI,796.0
Honda City i-VTEC CVT V,1497.0
Maruti Swift Dzire AMT VDI,1248.0
Tata Indigo LS,1405.0
Maruti Eeco CNG 5 Seater AC,1196.0
Mahindra XUV500 AT W10 AWD,2179.0
Maruti Alto K10 LXI,998.0
Hyundai EON Sportz,814.0
Tata Tiago 1.2 Revotron XE,1199.0
Maruti Eeco Smiles 5 Seater AC,1196.0
Honda Amaze S CVT Diesel BSIV,1498.0
Hyundai Creta 1.4 CRDi Base,1396.0
Maruti Alto LXi BSIII,796.0
Hyundai Xcent 1.1 CRDi S Option,1120.0
Toyota Etios Liva Diesel,1364.0
Maruti Swift Dzire ZDI Plus,1248.0
Maruti 800 AC BSIII,796.0
Volkswagen Polo 1.5 TDI Highline,1498.0
Mahindra Verito 1.5 D2 BSIII,1461.0
Maruti Swift VDI Optional,1248.0
Hyundai Xcent 1.2 Kappa S Option,1197.0
Ford Figo Diesel EXI,1399.0
Ford Figo 1.2P Titanium Plus MT,1196.0
Maruti Celerio ZXI,998.0
Hyundai Creta 1.6 VTVT S,1591.0
Tata Hexa XT,2179.0
Hyundai i20 Active 1.4 SX with AVN,1396.0
Mahindra Bolero 2011-2019 SLE,2523.0
Nissan Terrano XL Plus 85 PS,1461.0
Maruti Swift VXI Windsong Limited edition,1197.0
Datsun RediGO 1.0 S,999.0
Renault Duster 110PS Diesel RxZ,1461.0
Chevrolet Enjoy 1.3 TCDi LS 7,1248.0
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,1248.0
Toyota Fortuner 4x2 AT,2982.0
Chevrolet Captiva LT,1991.0
Tata Indica Vista Aqua 1.4 TDI,1405.0
Nissan Micra Active XL Petrol,1198.0
Hyundai Verna Transform CRDi VGT SX ABS,1493.0
Mahindra KUV 100 mFALCON D75 K8,1198.0
Ford Fiesta Titanium 1.5 TDCi,1498.0
Tata Indigo CS LX DiCOR,1405.0
Maruti Wagon R VXI BSIII,998.0
Hyundai Verna 1.6 CRDi S,1582.0
Maruti Swift VDI BSIV,1248.0
Hyundai Verna 1.6 VTVT S Option,1591.0
Mahindra KUV 100 D75 K6 Plus,1198.0
Kia Seltos HTE D,1493.0
Hyundai Xcent 1.2 VTVT S,1197.0
Honda Brio 1.2 S MT,1198.0
Maruti Celerio LDi,793.0
Maruti Swift Dzire VXi,1298.0
Volkswagen Vento Diesel Trendline,1598.0
Toyota Etios Liva GD,1364.0
Honda Civic 1.8 V AT,1799.0
Maruti Ertiga BSIV VXI,1373.0
Chevrolet Beat Diesel LT,936.0
Tata New Safari DICOR 2.2 VX 4x2,2179.0
Ford Figo Petrol EXI,1196.0
Tata Indica V2 2001-2011 DLS BSIII,1396.0
Datsun RediGO S,799.0
Tata Indica V2 DLX BSII,1396.0
Mahindra Bolero 2011-2019 DI 4WD NON AC,2523.0
Hyundai i20 Asta Option 1.2,1197.0
Hyundai EON Era Plus,814.0
Maruti Swift Dzire 1.2 Vxi BSIV,1197.0
Chevrolet Beat LT,1199.0
Chevrolet Sail 1.2 LS ABS,1199.0
Jeep Compass 2.0 Longitude Option BSIV,1956.0
Maruti Alto K10 2010-2014 VXI,998.0
Hyundai i20 1.2 Asta Option,1197.0
Tata Venture EX 7 Str Captain Seats,1405.0
Hyundai EON Magna Plus,814.0
Hyundai Getz GLX,1341.0
Chevrolet Sail 1.2 LS,1199.0
Tata Zest Revotron 1.2T XM,1193.0
Ford Classic 1.4 Duratorq CLXI,1399.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2494.0
Mahindra Bolero SLX,2523.0
Hyundai i20 1.2 Spotz,1197.0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,1197.0
Honda Jazz 1.2 VX i VTEC,1199.0
Honda BR-V i-VTEC S MT,1497.0
Hyundai Verna S,1497.0
Nissan Micra XV CVT,1198.0
Datsun RediGO T Option,799.0
Hyundai Santro Sportz AMT BSIV,1086.0
Ford EcoSport 1.5 Diesel Trend BSIV,1498.0
Nissan Sunny XL D,1461.0
Jeep Compass 2.0 Limited,1956.0
Maruti Ertiga ZDI,1248.0
Tata Manza Aura Quadrajet,1248.0
Skoda Rapid 1.5 TDI Elegance,1498.0
Hyundai Verna 1.6 CRDi EX AT,1582.0
Mahindra Scorpio 1.99 S10,1997.0
Maruti Alto 800 LXI Optional,796.0
Hyundai i10 Magna 1.2 iTech SE,1197.0
Mahindra Bolero 2011-2019 SLX,2523.0
Maruti Wagon R VXI Optional,998.0
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2494.0
Chevrolet Beat Diesel LS,936.0
Maruti Zen Estilo VXI BSIV,998.0
Honda Amaze VX i-DTEC,1498.0
Toyota Fortuner 2.8 2WD MT,2755.0
Ford Ecosport 1.5 Ti VCT MT Titanium,1499.0
Hyundai Grand i10 1.2 Kappa Magna AT,1197.0
Tata Aria Pride,2179.0
Tata Sumo CX 10 Str BSIV,1948.0
Tata Manza Aura Plus Quadrajet,1248.0
Hyundai i10 Sportz 1.1L,1086.0
Tata Indigo CS LX (TDI) BS-III,1405.0
Renault KWID 1.0 RXT Optional,999.0
Mahindra TUV 300 T8,1493.0
Maruti Ertiga SHVS ZDI,1248.0
Tata Tiago NRG Petrol,1199.0
Ford Figo Diesel ZXI,1399.0
Maruti Wagon R LXI BS IV,998.0
Hyundai i10 Era,1086.0
Tata Bolt Revotron XE,1193.0
Hyundai Grand i10 1.2 CRDi Asta,1186.0
Maruti Swift VDI,1248.0
Honda Accord V6 AT,2997.0
Mahindra Scorpio S10 7 Seater,2179.0
Hyundai Grand i10 CRDi Asta,1120.0
Ford EcoSport 1.5 TDCi Titanium BSIV,1498.0
Mahindra Bolero 2011-2019 DI - AC BS III,2523.0
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),1396.0
Tata Bolt Quadrajet XE,1248.0
Mahindra Xylo E4 BS IV,2498.0
Tata Indica Vista Aura Safire Anniversary Edition,1172.0
Maruti A-Star Zxi,998.0
Hyundai i10 Asta,1197.0
Mahindra Thar CRDe AC,2498.0
Fiat Grande Punto Sport 90BHP,1248.0
Hyundai Getz 1.5 CRDi GVS,1493.0
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,1248.0
Tata Indica V2 Turbomax DLS BS IV,1405.0
Hyundai Xcent 1.2 Kappa Base,1197.0
Mahindra KUV 100 G80 K6 Plus,1198.0
Maruti Swift Dzire Tour S CNG,1197.0
Ford EcoSport 1.5 Diesel Titanium BSIV,1498.0
Toyota Yaris V CVT BSIV,1496.0
Mercedes-Benz E-Class E250 CDI Avantgarde,2143.0
Toyota Fortuner 4x2 4 Speed AT,2982.0
Mahindra KUV 100 G80 K2,1198.0
Ford Figo 1.2P Titanium Opt MT,1196.0
Nissan Sunny Diesel XV,1461.0
Hyundai Santro Xing GL Plus,1086.0
Mahindra Xylo D2 BS IV,2489.0
Mahindra Bolero 2011-2019 DI BSIII,2523.0
Maruti Swift Vdi BSIII,1248.0
Mahindra Xylo E6,2498.0
Maruti Wagon R LXI BSIII,998.0
Mahindra Bolero DI DX 8 Seater,2523.0
Maruti Zen Estilo LXI BS IV,998.0
Tata Nano Cx,624.0
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2499.0
Mahindra TUV 300 T6 Plus,1493.0
Mahindra Scorpio M2DI,2179.0
Honda CR-V 2.4 4WD AT,2354.0
Datsun GO Anniversary Edition,1198.0
Mahindra KUV 100 mFALCON G80 K2,1198.0
Hyundai i20 Sportz 1.4 CRDi,1396.0
Tata Indigo CS LS (TDI) BS III,1396.0
Mahindra Bolero 2011-2019 Plus AC,2523.0
Mahindra Bolero PLUS AC BSIII,2523.0
Mahindra Bolero 2011-2019 Plus - AC BSIII,2523.0
Nissan Sunny XE,1498.0
Tata Manza Club Class Quadrajet90 VX,1248.0
Hyundai Xcent 1.1 CRDi SX Option,1120.0
Ford Freestyle Titanium Plus Petrol BSIV,1194.0
Skoda Rapid Ultima 1.6 TDI Elegance,1598.0
Mahindra Bolero 2011-2019 Plus-AC Plus PS BSIII,2523.0
Volkswagen Polo 1.5 TDI Comfortline,1498.0
Mahindra XUV500 W10 2WD,2179.0
Tata Indica V2 DLX TC,1405.0
Hyundai Grand i10 1.2 Kappa Magna BSIV,1197.0
Tata Tiago 1.05 Revotorq XM,1047.0
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2179.0
Toyota Innova 2.5 E Diesel MS 8-seater,2494.0
Tata Indigo eCS VX BSIV,1396.0
Ford Figo Aspire 1.2 Ti-VCT Titanium,1196.0
Mahindra Scorpio 2.6 CRDe SLE,2609.0
Hyundai EON D Lite,814.0
Tata Indica V2 DL BSIII,1396.0
Volkswagen Polo Diesel Highline 1.2L,1199.0
Mahindra Xylo D2,2489.0
Fiat Linea 1.3 Active,1248.0
Hyundai i20 1.4 CRDi Era,1396.0
Mahindra Xylo D4 BSIV,2498.0
Honda Amaze i-VTEC Privilege Edition,1198.0
Mahindra Scorpio S2 7 Seater,2523.0
Tata Indica Vista Quadrajet ZX,1248.0
Ford Endeavour Hurricane Limited Edition,2953.0
Ford Freestyle Trend Petrol BSIV,1194.0
Chevrolet Aveo U-VA 1.2 LS,1150.0
Mahindra Bolero SLX 2WD BSIII,2523.0
Mahindra Scorpio 2.6 SPORTZ CRDe,2179.0
Hyundai Santro Xing GL,1086.0
Datsun RediGO Sport,799.0
Mahindra Bolero ZLX BSIII,2523.0
Maruti 800 AC,796.0
Mahindra XUV500 W6 2WD,2179.0
Chevrolet Tavera Neo 3 LS 10 Str,1994.0
Datsun GO Plus D1,1198.0
Hyundai EON D Lite Plus,814.0
Honda City 2017-2020 GXi,1497.0
Tata Tigor 1.2 Revotron XT,1199.0
Honda Amaze VX Diesel BSIV,1498.0
Hyundai i20 Asta 1.2,1197.0
Mahindra Bolero VLX CRDe,2523.0
Maruti Alto Std,796.0
Maruti Omni 8 Seater BSII,796.0
Honda Amaze E i-Dtech,1498.0
Maruti Baleno Alpha 1.2,1197.0
Mahindra XUV500 W10 1.99 mHawk,1997.0
Maruti Swift ZXI,1197.0
Hyundai Santro Xing XS,1086.0
Mahindra Verito Vibe 1.5 dCi D4,1461.0
Maruti Wagon R Stingray VXI,998.0
Tata Sumo GX,2179.0
Maruti Ritz ZXi,1197.0
Tata Indica Vista Terra 1.4 TDI,1405.0
Ford Fiesta 1.4 ZXi Duratec,1388.0
Tata Indica Vista Aqua 1.3 Quadrajet BSIV,1248.0
Mahindra Scorpio SLE BSIV,2179.0
Hyundai EON 1.0 Kappa Magna Plus,998.0
Tata Indigo GLX,1396.0
Chevrolet Sail Hatchback Petrol,1199.0
Hyundai Verna 1.6 VGT CRDi,1582.0
Tata Tigor 1.05 Revotorq XZ,1047.0
Maruti Alto 800 CNG LXI,796.0
Hyundai EON Era,814.0
Maruti Wagon R Duo Lxi,998.0
Toyota Corolla Altis D-4D J,1364.0
Hyundai i20 2015-2017 Sportz 1.2,1197.0
Tata Manza Aqua Quadrajet BS IV,1248.0
Mahindra Xylo H4,2179.0
Ford Fiesta Classic 1.4 Duratorq CLXI,1399.0
Renault Triber RXT BSIV,999.0
Mahindra Scorpio Getaway,2179.0
Mahindra Bolero DI Non AC BSIII,2523.0
Tata Indigo CS LX (TDI) BS III,1396.0
Hyundai Accent GLX,1495.0
Ford Fusion 1.4 TDCi Diesel,1399.0
Skoda Octavia Ambition 2.0 TDI MT,1968.0
Hyundai i20 Magna 1.4 CRDi,1396.0
Hyundai Elite i20 Petrol Asta Option,1197.0
Toyota Innova 2.5 G4 Diesel 7-seater,2494.0
Audi A4 2.0 TDI,1968.0
Toyota Etios GD,1364.0
Tata Zest Quadrajet 1.3 75PS XE,1248.0
Tata Indica Vista Quadrajet VX,1248.0
Maruti Eeco Smiles 7 Seater Standard,1196.0
Datsun GO Plus Anniversary Edition,1198.0
Hyundai i20 1.4 CRDi Magna,1396.0
Maruti Alto 800 VXI Plus,796.0
Renault KWID RXT Optional,799.0
Maruti XL6 Alpha,1462.0
Hyundai i20 Active SX Diesel,1396.0
Mahindra TUV 300 Plus P4 BSIV,2179.0
Tata Tigor 1.05 Revotorq XZ Option,1047.0
Honda City i DTEC VX Option,1498.0
Hyundai Santro Magna BSIV,1086.0
Maruti Alto K10 Knightracer,998.0
Tata Indica V2 2001-2011 eLX,1396.0
Hyundai Verna CRDi SX ABS,1493.0
Tata New Safari 3L Dicor LX 4x2,2956.0
Hyundai Creta 1.4 EX Diesel,1396.0
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,1248.0
Maruti Zen D,1527.0
Renault Triber RXZ BSIV,999.0
Maruti Zen Estilo 1.1 LXI BSIII,1061.0
Toyota Innova 2.5 VX 8 STR,2494.0
Toyota Innova Crysta 2.8 GX AT BSIV,2755.0
Mahindra Scorpio 2009-2014 EX 2WD 7S,2523.0
Hyundai Elantra CRDi SX,1582.0
Chevrolet Sail Hatchback LS ABS,1248.0
Hyundai i20 Asta Option 1.4 CRDi,1396.0
Volkswagen Polo Diesel Trendline 1.2L,1199.0
Hyundai Santa Fe 4WD AT,2199.0
Mahindra Thar DI 4X4,2523.0
Chevrolet Spark 1.0 LT,995.0
Mahindra Scorpio S4 Plus 4WD,2179.0
Tata Indigo LS BSII,1405.0
Mahindra Scorpio EX,2523.0
Tata Indica V2 DLS TC,1405.0
Tata Safari DICOR 2.2 EX 4x2,2179.0
Mahindra Bolero 2011-2019 EX NON AC,2523.0
Hyundai Verna Transform SX VGT CRDi,1493.0
Hyundai Verna Xi (Petrol),1599.0
Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2494.0
Tata Tigor 2017-2020 XZ Plus Diesel,1047.0
Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2494.0
Ford Aspire Titanium Diesel BSIV,1498.0
Ford Ecosport 1.5 DV5 MT Titanium,1498.0
Ford Figo Titanium Diesel BSIV,1498.0
Honda City 1.5 E MT,1497.0
Ford Fiesta EXi 1.4 TDCi Ltd,1399.0
Tata Indica V2 DLG TC,1405.0
Chevrolet Optra Magnum 2.0 LS,1991.0
Tata Sumo MKII GX BS IV,2179.0
Toyota Innova Crysta 2.5 VX BS IV,2494.0
Honda Mobilio S i DTEC,1498.0
Mahindra KUV 100 G80 K8,1198.0
Toyota Innova 2.5 E Diesel MS 7-seater,2494.0
Maruti Swift Dzire AMT VXI,1197.0
Honda BRV i-VTEC V CVT,1497.0
Ford Figo Aspire 1.5 TDCi Titanium,1498.0
